character,move,base_damage,damage,angle,bkb,kbg,launch_angle,hitstun
Bowser,Usmash (Hitbox 1),20,21,90,23,90,90,27
Bowser,Usmash (Hitbox 2),15,15.75,70,23,100,70,23
Bowser,Usmash (Hitbox 3),15,15.75,120,23,100,120,23
Bowser,Usmash (Landing),6,6.3,70,80,100,70,39
Bowser,Dsmash (Hit 1),2,2.1,150,60,100,150,25
Bowser,Dsmash (Hit 2-6) (Hitbox 1),1,1.05,150,40,50,150,18
Bowser,Dsmash (Hit 2-6) (Hitbox 2),1,1.05,150,40,50,150,18
Bowser,Dsmash (Hit 2-6) (Hitbox 3),1,1.05,190,40,50,190,18
Bowser,Dsmash (Hit 2-6) (Hitbox 4),1,1.05,190,40,50,190,18
Bowser,Dsmash (Hit 7),9,9.45,48,40,130,48,28
Bowser,Fthrow,12,12.6,45,60,66,45,31
Bowser,Bthrow,12,12.6,45,60,66,45,31
Bowser,Uthrow (Luigi Dthrow Reincarnated),2,2.1,82,25,180,82,23
Bowser,Dthrow,2,2.1,50,90,50,50,39
Bowser,Nair (Hit 1),6,6.3,75,20,50,75,11
Bowser,Nair (Hit 2),6,6.3,75,20,100,75,15
Bowser,Nair (Hit 3),6,6.3,75,60,90,75,30
Bowser,Nair (Hit 4),6,6.3,75,60,90,75,30
Bowser,Fair (Hitbox 1),13,13.65,361,40,80,10.03580435,25
Bowser,Fair (Hitbox 2),12,12.6,361,40,80,7.536347826,25
Bowser,Fair (Hitbox 3),11,11.55,361,40,80,5.22223913,24
Bowser,Bair,19,19.95,35,20,88,35,24
Bowser,Uair,15,15.75,85,35,85,85,26
Bowser,Dair (Meteor),16,16.8,275,30,100,275,27
Bowser,Dair,16,16.8,56,30,100,56,27
Bowser,Dair (Landing),2,2.1,20,60,30,20,25
Bowser,Fire Breath,1.2,1.26,55,20,30,55,9
Bowser,Fire Breath (Flinchless),1.2,1.26,65,20,30,65,9
Bowser,Flying Slam (Hitbox),18,18.9,60,80,60,60,42
Bowser,Whirling Fortress (Ground) (Hitbox 1),1,1.05,180,50,100,180,22
Bowser,Whirling Fortress (Ground) (Hitbox 2),1,1.05,180,70,100,180,28
Bowser,Whirling Fortress (Ground) (Hitbox 3),1,1.05,180,70,100,180,28
Bowser,"Whirling Fortress (Final Hit, Ground)",4,4.2,60,70,150,60,38
Bowser,"Whirling Fortress (Aerial, Hit 1)",10,10.5,80,80,60,80,37
Bowser,"Whirling Fortress (Aerial, Hits 2-6)",3,3.15,84,50,20,84,20
Bowser,"Whirling Fortress (Aerial, Hits 7-11)",2,2.1,84,50,20,84,20
Bowser,Bowser Bomb (Hit 1),4,4.2,85,90,100,85,34
Bowser,Bowser Bomb (Hit 2),20,21,76,45,75,76,33
Bowser,Bowser Bomb (Landing),11,11.55,76,60,72,76,31
Bowser,Bowser Bomb (Aerial),20,21,76,45,75,76,33
Bowser Jr,Jab 1,3,3.15,361,10,50,0,6
Bowser Jr,Jab 2 (Hitbox 1),2,2.1,80,24,50,80,12
Bowser Jr,Jab 2 (Hitbox 2),2,2.1,70,24,50,70,12
Bowser Jr,Rapid Jab Finisher,3,3.15,361,60,170,40,36
Bowser Jr,Dash Attack,1.5,1.575,25,0,100,25,6
Bowser Jr,Dash Attack (Final Hit),4,4.2,60,100,70,60,44
Bowser Jr,Ftilt (All Angles),8,8.4,361,30,110,0,21
Bowser Jr,Utilt,6,6.3,97,48,99,97,26
Bowser Jr,Dtilt (Hit 1) (Hitbox 1),1.5,1.575,94,30,100,94,15
Bowser Jr,Dtilt (Hit 1) (Hitbox 2),1.5,1.575,45,30,100,45,15
Bowser Jr,Dtilt (Hit 2) (Hitbox 1),1.5,1.575,94,30,100,94,15
Bowser Jr,Dtilt (Hit 2) (Hitbox 2),1.5,1.575,55,30,100,55,15
Bowser Jr,Dtilt (Hit 3),5,5.25,45,20,150,45,19
Bowser Jr,Fsmash,1,1.05,93,20,10,93,7
Bowser Jr,Fsmash (Final Hit),11,11.55,46,40,136,46,31
Bowser Jr,Usmash (Launcher),1,1.05,97,80,100,97,31
Bowser Jr,Usmash (Hitbox 1),1.3,1.365,110,12,100,110,10
Bowser Jr,Usmash (Hitbox 2),1.3,1.365,190,17,100,190,11
Bowser Jr,Usmash (Hitbox 3),1.3,1.365,140,50,100,140,22
Bowser Jr,Usmash (Hit 6),1,1.05,120,35,100,120,17
Bowser Jr,Usmash (Final Hit),6,6.3,85,32,175,85,27
Bowser Jr,Dsmash,18,18.9,53,40,89,53,31
Bowser Jr,Fthrow,6,6.3,45,60,70,45,29
Bowser Jr,Bthrow,12,12.6,45,50,65,45,27
Bowser Jr,Uthrow,7,7.35,80,55,85,80,28
Bowser Jr,Dthrow,4,4.2,55,80,110,55,39
Bowser Jr,Nair (Early),6,6.3,361,50,100,16.96846273,27
Bowser Jr,Nair,5,5.25,361,40,100,1.180221273,23
Bowser Jr,Nair (Late),3,3.15,361,30,100,0,18
Bowser Jr,Fair (Early) (Hitbox 1),11,11.55,45,33,93,45,23
Bowser Jr,Fair (Early) (Hitbox 2),9,9.45,45,33,93,45,21
Bowser Jr,Fair (Hitbox 1),9,9.45,45,33,93,45,21
Bowser Jr,Fair (Hitbox 2),7,7.35,45,33,93,45,20
Bowser Jr,Fair (Late) (Hitbox 1),7,7.35,45,33,93,45,20
Bowser Jr,Fair (Late) (Hitbox 2),5,5.25,45,33,93,45,19
Bowser Jr,Fair (Landing),2,2.1,60,60,100,60,30
Bowser Jr,Bair (Hitbox 1),14,14.7,361,30,92,4.6287,24
Bowser Jr,Bair (Hitbox 2),8,8.4,361,7,92,0,10
Bowser Jr,Bair (Late),10,10.5,361,7,92,0,11
Bowser Jr,Uair,10,10.5,68,30,100,68,22
Bowser Jr,Uair (Late),6.5,6.825,68,30,80,68,18
Bowser Jr,Dair (Hitbox 1),1.3,1.365,270,30,100,270,15
Bowser Jr,Dair (Hitbox 2),1.3,1.365,366,30,100,366,18
Bowser Jr,Dair (Hitbox 3),1.3,1.365,365,30,100,365,18
Bowser Jr,Dair (Final Hit),2,2.1,64,70,130,64,36
Bowser Jr,Dair (Landing),2,2.1,50,40,180,50,28
Bowser Jr,Clown Cannon (No Charge),8.5,8.925,50,40,82,50,23
Bowser Jr,"Clown Cannon (No Charge, Late)",5.9,6.195,50,40,82,50,22
Bowser Jr,Clown Cannon (Full Charge),20,21,50,40,82,50,32
Bowser Jr,"Clown Cannon (Full Charge, Late)",14,14.7,50,40,82,50,26
Bowser Jr,Clown Kart Dash (Ground Dash),4,4.2,80,60,80,80,29
Bowser Jr,Clown Kart Dash (Spinout),8,8.4,361,60,80,27.96342857,30
Bowser Jr,Abandon Ship! (Initial),5,5.25,80,50,25,80,21
Bowser Jr,Abandon Ship! (Explosion),13,13.65,55,85,70,55,42
Bowser Jr,Abandon Ship! (Hammer) (Hitbox 1),15,15.75,361,50,90,35.39674884,32
Bowser Jr,Abandon Ship! (Hammer) (Hitbox 2),10,10.5,361,50,90,21.3373059,28
Bowser Jr,Mechakoopa (Projectile),2,2.1,0,0,0,0,0
Bowser Jr,Mechakoopa (Explosion),7,7.35,0,0,0,0,0
Captain Falcon,Jab 1,2,2.1,80,20,100,80,12
Captain Falcon,Jab 2,2,2.1,80,20,100,80,12
Captain Falcon,Jab 3,5,5.25,361,70,100,40,35
Captain Falcon,Rapid Jab Finisher,2,2.1,45,110,70,45,48
Captain Falcon,Dash Attack,10,10.5,65,90,50,65,40
Captain Falcon,Dash Attack (Late),6,6.3,65,90,50,65,39
Captain Falcon,Ftilt (Angled Up) (Hitbox 1),10,10.5,361,10,100,0,14
Captain Falcon,Ftilt (Angled Up) (Hitbox 2),9,9.45,361,10,100,0,13
Captain Falcon,Ftilt (Angled Up) (Hitbox 3),9,9.45,361,10,100,0,13
Captain Falcon,Ftilt (Hitbox 1),9,9.45,361,10,100,0,13
Captain Falcon,Ftilt (Hitbox 2),9,9.45,361,10,100,0,13
Captain Falcon,Ftilt (Hitbox 3),8,8.4,361,10,100,0,12
Captain Falcon,Ftilt (Angled Down) (Hitbox 1),10,10.5,361,10,100,0,14
Captain Falcon,Ftilt (Angled Down) (Hitbox 2),9,9.45,361,10,100,0,13
Captain Falcon,Ftilt (Angled Down) (Hitbox 3),9,9.45,361,10,100,0,13
Captain Falcon,Utilt (Hitbox 1),11,11.55,60,35,100,60,24
Captain Falcon,Utilt (Hitbox 2),11,11.55,275,22,100,275,19
Captain Falcon,Utilt (Hitbox 3),11,11.55,60,35,100,60,24
Captain Falcon,Utilt (Hitbox 4),11,11.55,60,35,100,60,24
Captain Falcon,Dtilt,10,10.5,25,38,80,25,23
Captain Falcon,Fsmash (Angled Up),20,21,45,24,95,45,28
Captain Falcon,Fsmash,19,19.95,43,24,95,43,27
Captain Falcon,Fsmash (Angled Down),20,21,38,24,83,38,26
Captain Falcon,Usmash (Hit 1) (Hitbox 1),6,6.3,95,120,90,95,38
Captain Falcon,Usmash (Hit 1) (Hitbox 2),6,6.3,110,140,90,110,44
Captain Falcon,Usmash (Hit 1) (Hitbox 3),11,11.55,80,20,90,80,11
Captain Falcon,Usmash (Hit 1) (Hitbox 4),11,11.55,90,20,90,90,11
Captain Falcon,Usmash (Hit 1) (Hitbox 5),11,11.55,90,0,90,90,9
Captain Falcon,Usmash (Hit 1) (Hitbox 6),11,11.55,90,0,90,90,9
Captain Falcon,Usmash (Hit 1) (Hitbox 7),11,11.55,90,30,90,90,21
Captain Falcon,Usmash (Hit 1) (Hitbox 8),11,11.55,90,30,90,90,21
Captain Falcon,Usmash (Hit 2) (Hitbox 1),13,13.65,83,30,104,83,25
Captain Falcon,Usmash (Hit 2) (Hitbox 2),13,13.65,85,30,106,85,25
Captain Falcon,Usmash (Hit 2) (Hitbox 3),12,12.6,70,30,112,70,25
Captain Falcon,Dsmash (Hit 1),14,14.7,361,30,90,3.596399068,24
Captain Falcon,Dsmash (Hit 2),18,18.9,361,20,90,3.477467391,23
Captain Falcon,Fthrow,4,4.2,45,55,120,45,31
Captain Falcon,Bthrow,4,4.2,135,60,130,135,34
Captain Falcon,Uthrow,3,3.15,85,80,110,85,40
Captain Falcon,Dthrow,6,6.3,65,80,45,65,34
Captain Falcon,Nair (Hit 1) (Hitbox 1),4,4.2,86,55,100,86,23
Captain Falcon,Nair (Hit 1) (Hitbox 2),4,4.2,78,55,100,78,23
Captain Falcon,Nair (Hit 1) (Hitbox 3),4,4.2,74,55,100,74,23
Captain Falcon,Nair (Hit 2),6,6.3,361,45,130,19.2018587,28
Captain Falcon,Fair (Hitbox 1),19,19.95,32,30,93,32,29
Captain Falcon,Fair (Hitbox 2),6,6.3,361,35,80,0,20
Captain Falcon,Fair (Late),3,3.15,361,35,80,0,19
Captain Falcon,Bair,13,13.65,361,25,100,0,22
Captain Falcon,Bair (Late),8,8.4,361,25,100,0,18
Captain Falcon,Uair (Hitbox 1),11,11.55,70,10,100,70,14
Captain Falcon,Uair (Hitbox 2),10,10.5,70,10,100,70,14
Captain Falcon,Uair (Late) (Hitbox 1),10,10.5,30,8,80,30,11
Captain Falcon,Uair (Late) (Hitbox 2),9,9.45,30,8,80,30,10
Captain Falcon,Dair (Hitbox 1),14,14.7,270,10,100,270,17
Captain Falcon,Dair (Hitbox 2),14,14.7,361,40,100,23.04361801,29
Captain Falcon,Falcon Punch,25,26.25,361,0,90,7.725786102,25
Captain Falcon,Falcon Punch (Aerial),22,23.1,361,0,90,0,20
Captain Falcon,Falcon Punch (B-Reversed),28,29.4,361,0,90,24.91913665,29
Captain Falcon,"Falcon Punch (B-Reversed, Aerial)",25,26.25,361,0,90,7.725786102,25
Captain Falcon,"Raptor Boost (Attack, Ground)",9,9.45,85,100,75,85,46
Captain Falcon,"Raptor Boost (Attack, Aerial) (Hitbox 1)",8,8.4,60,60,80,60,30
Captain Falcon,"Raptor Boost (Attack, Aerial) (Hitbox 2)",8,8.4,275,60,70,275,29
Captain Falcon,"Raptor Boost (Attack, Aerial) (Hitbox 3)",8,8.4,60,60,80,60,30
Captain Falcon,Falcon Dive (Latch),5,5.25,361,0,0,0,0
Captain Falcon,Falcon Dive (Attack),12,12.6,50,40,82,50,25
Captain Falcon,"Falcon Kick (Early, Ground)",13,13.65,80,60,80,80,33
Captain Falcon,Falcon Kick (Ground),11,11.55,68,90,40,68,39
Captain Falcon,"Falcon Kick (Late, Ground)",7,7.35,50,80,60,50,36
Captain Falcon,"Falcon Kick (Early, Aerial)",15,15.75,361,40,65,7.310350349,25
Captain Falcon,Falcon Kick (Aerial),13,13.65,361,40,65,2.796948175,23
Captain Falcon,"Falcon Kick (Late, Aerial)",11,11.55,361,40,65,0,22
Captain Falcon,Falcon Kick (Landing),9,9.45,80,80,20,80,33
Charizard,Jab 1 (Hitbox 1),3,3.15,120,26,100,120,14
Charizard,Jab 1 (Hitbox 2),3,3.15,361,22,100,0,13
Charizard,Jab 1 (Hitbox 3),3,3.15,361,22,100,0,13
Charizard,Jab 2 (Hitbox 1),4,4.2,80,25,50,80,12
Charizard,Jab 2 (Hitbox 2),4,4.2,55,25,50,55,12
Charizard,Jab 2 (Hitbox 3),4,4.2,30,40,50,30,18
Charizard,Jab 3 (Hitbox 1),5,5.25,70,60,130,70,33
Charizard,Jab 3 (Hitbox 2),5,5.25,60,60,130,60,33
Charizard,Jab 3 (Hitbox 3),5,5.25,50,60,130,50,33
Charizard,Jab 3 (Hitbox 4),5,5.25,45,60,130,45,33
Charizard,Dash Attack (Hitbox 1),11,11.55,50,100,45,50,44
Charizard,Dash Attack (Hitbox 2),11,11.55,60,100,45,60,44
Charizard,Dash Attack (Late) (Hitbox 1),8,8.4,50,100,30,50,41
Charizard,Dash Attack (Late) (Hitbox 2),8,8.4,60,100,30,60,41
Charizard,Ftilt (All Angles) (Hitbox 1),11,11.55,40,40,100,40,26
Charizard,Ftilt (All Angles) (Hitbox 2),7,7.35,361,40,100,4.416960404,24
Charizard,Ftilt (All Angles) (Hitbox 3),11,11.55,40,40,100,40,26
Charizard,Ftilt (All Angles) (Hitbox 4),7,7.35,361,40,100,4.416960404,24
Charizard,Utilt,8,8.4,96,40,130,96,27
Charizard,Dtilt (Windbox),0,0,30,72,60,30,16
Charizard,Dtilt,10,10.5,30,60,60,30,29
Charizard,Fsmash,17,17.85,45,60,94,45,39
Charizard,Fsmash (Late) (Hitbox 1),17,17.85,45,60,94,45,39
Charizard,Fsmash (Late) (Hitbox 2),14,14.7,45,60,94,45,36
Charizard,Usmash (Hit 1),5,5.25,110,100,100,110,37
Charizard,Usmash (Hit 1) (Hitbox 1),5,5.25,140,30,100,140,15
Charizard,Usmash (Hit 1) (Hitbox 2),5,5.25,100,60,100,100,25
Charizard,Usmash (Hit 1) (Hitbox 3),5,5.25,280,10,100,280,9
Charizard,Usmash (Hit 2),11,11.55,83,40,107,83,27
Charizard,Dsmash (Hitbox 1),16,16.8,33,40,79,33,28
Charizard,Dsmash (Hitbox 2),16,16.8,33,40,79,33,28
Charizard,Dsmash (Hitbox 3),16,16.8,46,40,85,46,29
Charizard,Dsmash (Hitbox 4),16,16.8,46,40,85,46,29
Charizard,Fthrow,10,10.5,40,60,65,40,30
Charizard,Bthrow,10,10.5,361,60,65,25.7277368,30
Charizard,Uthrow,3,3.15,70,50,220,70,38
Charizard,Dthrow,1,1.05,70,70,130,70,37
Charizard,Nair (Hitbox 1),12,12.6,361,30,78,0,20
Charizard,Nair (Hitbox 2),9,9.45,361,30,78,0,19
Charizard,Nair (Hitbox 3),9,9.45,361,30,78,0,19
Charizard,Nair (Hitbox 4),9,9.45,361,30,78,0,19
Charizard,Fair,12,12.6,361,35,92,5.809657143,24
Charizard,Fair (Late),13,13.65,34,32,97,34,24
Charizard,Bair (Hitbox 1),16,16.8,361,50,90,38.83418634,33
Charizard,Bair (Hitbox 2),14,14.7,361,50,90,32.16782764,32
Charizard,Bair (Hitbox 3),11,11.55,361,50,90,23.73216188,29
Charizard,Bair (Hitbox 4),11,11.55,361,50,90,23.73216188,29
Charizard,Uair,13,13.65,85,30,105,85,25
Charizard,Dair,14,14.7,270,20,100,270,21
Charizard,Dair (Late) (Hitbox 1),8,8.4,55,20,100,55,16
Charizard,Dair (Late) (Hitbox 2),8,8.4,361,20,100,0,16
Charizard,Flamethrower (Hitbox 1),2,2.1,45,30,50,45,14
Charizard,Flamethrower (Hitbox 2),1,1.05,58,15,30,58,7
Charizard,Flare Blitz (Hit 1),4,4.2,60,60,80,60,29
Charizard,Flare Blitz (Hit 2),15,15.75,361,70,84,40,39
Charizard,Fly (Hit 1) (Hitbox 1),5,5.25,70,130,100,70,46
Charizard,Fly (Hit 1) (Hitbox 2),5,5.25,95,140,100,95,49
Charizard,Fly (Hit 1) (Hitbox 3),5,5.25,80,140,100,80,49
Charizard,Fly (Hitbox 1),2,2.1,72,90,100,72,34
Charizard,Fly (Hitbox 2),2,2.1,90,100,100,90,37
Charizard,Fly (Hitbox 3),2,2.1,90,100,100,90,37
Charizard,Fly (Final Hit),4,4.2,75,70,150,75,38
Charizard,Rock Smash (Hit 1),14,14.7,60,60,80,60,34
Charizard,Rock Smash (Hit 2),6,6.3,0,0,0,0,0
Charizard,Rock Smash (Residue),3,3.15,70,50,70,70,24
Cloud,Jab 1 (Hitbox 1),2.5,2.625,60,42,24,60,17
Cloud,Jab 1 (Hitbox 2),2.5,2.625,82,42,24,82,17
Cloud,Jab 1 (Hitbox 3),2.5,2.625,82,28,24,82,12
Cloud,Jab 2 (Hitbox 1),2,2.1,65,33,25,65,14
Cloud,Jab 2 (Hitbox 2),2,2.1,35,33,25,35,14
Cloud,Jab 2 (Hitbox 3),2,2.1,55,28,25,55,12
Cloud,Jab 3,3.5,3.675,30,75,50,30,32
Cloud,Dash Attack,11,11.55,60,100,60,60,46
Cloud,Dash Attack (Late),8,8.4,65,100,50,65,43
Cloud,Ftilt,11,11.55,361,20,100,0,18
Cloud,Utilt,8,8.4,95,46,100,95,27
Cloud,Dtilt (Hitbox 1),7,7.35,80,80,75,80,37
Cloud,Dtilt (Hitbox 2),6,6.3,80,80,75,80,37
Cloud,Dtilt (Late),7,7.35,80,80,75,80,37
Cloud,Fsmash (Hit 1) (Hitbox 1),3,3.15,60,30,30,60,13
Cloud,Fsmash (Hit 1) (Hitbox 2),3,3.15,170,25,100,170,14
Cloud,Fsmash (Hit 1) (Hitbox 3),3,3.15,0,10,100,0,9
Cloud,Fsmash (Hit 1) (Hitbox 4),3,3.15,180,10,100,180,9
Cloud,Fsmash (Hit 1) (Hitbox 5),3,3.15,180,10,100,180,9
Cloud,Fsmash (Hit 2) (Hitbox 1),3,3.15,15,90,100,15,34
Cloud,Fsmash (Hit 2) (Hitbox 2),2,2.1,15,50,100,15,22
Cloud,Fsmash (Hit 2) (Hitbox 3),4,4.2,170,10,100,170,9
Cloud,Fsmash (Hit 3) (Hitbox 1),13,13.65,361,42,115,29.78361161,31
Cloud,Fsmash (Hit 3) (Hitbox 2),12,12.6,361,42,115,26.19064286,30
Cloud,Usmash (Early),13,13.65,83,40,96,83,27
Cloud,Usmash (Hitbox 1),12,12.6,83,40,96,83,27
Cloud,Usmash (Hitbox 2),13,13.65,83,40,96,83,27
Cloud,Usmash (Hitbox 3),13,13.65,83,40,96,83,27
